code,name,lat,long,tambon,amphoe,province,basin,sub_basin
NAN008,ชุมแสง,15.8692,100.26484,เกยไชย,ชุมแสง,นครสวรรค์,น่าน,แม่น้ำน่านตอนล่างส่วนที่ 2
NAN009,เวียงสา,18.54995,100.76153,ส้าน,เวียงสา,น่าน,น่าน,แม่น้ำน่านส่วนที่ 3/1
NAN010,น้ำปาด,17.790888,100.74903,บ้านฝาย,น้ำปาด,อุตรดิตถ์,น่าน,น้ำปาด
NAN011,เมืองอุตรดิตถ์,17.610168,100.099396,ป่าเซ่า,เมืองอุตรดิตถ์,อุตรดิตถ์,น่าน,แม่น้ำน่านส่วนที่ 4/1
NAN012,เมืองพิษณุโลก,16.86472,100.24479,ปากโทก,เมืองพิษณุโลก,พิษณุโลก,น่าน,แม่น้ำน่านตอนล่างส่วนที่ 1
NAN013,วังทอง,16.822168,100.43161,วังทอง,วังทอง,พิษณุโลก,น่าน,แม่น้ำวังทอง
NAN014,ตรอน,17.418352,100.13079,หาดสองแคว,ตรอน,อุตรดิตถ์,น่าน,แม่น้ำน่านส่วนที่ 4/2
NANG,อบต.คลองหิน,8.284193,98.79711,คลองหิน,อ่าวลึก,กระบี่,ภาคใต้ฝั่งตะวันตก,ภาคใต้ฝั่งตะวันตกส่วนที่ 2
NANI,อบต.นาน้อย,18.328064,100.70871,นาน้อย,นาน้อย,น่าน,น่าน,น้ำแหง
NANP,ทต.นาหนองไผ่,15.350509,103.47608,นาหนองไผ่,ชุมพลบุรี,สุรินทร์,มูล,ลำน้ำมูลส่วนที่ 2/4
NANT,อบจ.น่าน,18.79901,100.73321,ในเวียง,เมืองน่าน,น่าน,น่าน,น้ำสมุน
NAPJ,อบต.ทุ่งกระบ่ำ,14.588794,99.63505,ทุ่งกระบ่ำ,เลาขวัญ,กาญจนบุรี,ท่าจีน,ที่ราบแม่น้ำท่าจีน
NAPK,อบต.นาโพธิ์กลาง,15.560386,105.501884,นาโพธิ์กลาง,โขงเจียม,อุบลราชธานี,โขงตะวันออกเฉียงเหนือ,แม่น้ำโขงตอนล่าง
NASG,ทต.นาส่วง,15.011457,104.9482,นาส่วง,เดชอุดม,อุบลราชธานี,มูล,ลำโดมใหญ่
NASW,อบต.นาซ่าว,17.82425,101.66913,นาซ่าว,เชียงคาน,เลย,โขงตะวันออกเฉียงเหนือ,แม่น้ำโขงส่วนที่ 5
NBLK,อบต.หนองบัวละคร,15.254264,101.86641,หนองบัวละคร,ด่านขุนทด,นครราชสีมา,มูล,ลำเชิงไกร
